index,r,age,start_year,num_years,mortality,fertility,productivity,NPV_100,GDP_20
1,0.063526551,40,10,10,8.339614597,4.36820845,1.687019185,4.3581329,8.7162658
2,0.072940196,40,10,10,1.74116871,9.979652029,3.545308068,6.401652177,12.80330435
3,0.091283173,40,10,10,6.306100052,8.979725634,6.049895011,7.566051331,15.13210266
4,0.078076178,40,10,10,2.860426442,3.928651254,0.424350575,2.663716088,5.327432176
5,0.075044537,40,10,10,3.497905809,6.508174575,0.741410782,4.176091684,8.352183368
6,0.089173992,40,10,10,9.006039051,3.336540296,3.820841392,4.615730376,9.231460751
7,0.040128058,40,10,10,4.107774985,9.55915206,2.94838415,6.485646272,12.97129254
8,0.071097184,40,10,10,7.259242147,6.135281923,0.263843567,4.598642461,9.197284922
9,0.080941347,40,10,10,8.364526637,7.34155332,3.18423623,6.298952856,12.59790571
10,0.011692213,40,10,10,4.753365412,6.681341989,8.382192621,6.806001863,13.61200373
11,0.027097348,40,10,10,9.070754429,6.922014605,7.107958386,7.407545704,14.81509141
12,0.074512995,40,10,10,1.969909239,5.554857178,3.237189502,4.142567288,8.285134575
13,0.051644561,40,10,10,8.386618951,2.028225046,5.184861882,4.246894878,8.493789756
14,0.01955567,40,10,10,0.051148928,5.289449437,5.234485516,4.225300159,8.450600318
15,0.049685212,40,10,10,7.493131058,0.681537601,8.911588836,4.512871663,9.025743326
16,0.094279359,40,10,10,8.610065332,1.18313551,7.709206602,4.626342802,9.252685605
17,0.088324615,40,10,10,8.750538594,5.026950883,1.052625489,4.579370807,9.158741614
18,0.010574787,40,10,10,8.064223736,3.632711552,6.430992898,5.358498392,10.71699678
19,0.036818364,40,10,10,2.359441946,5.648501682,2.904289975,4.167426223,8.334852446
20,0.076023399,40,10,10,8.103815963,0.40859488,7.786714204,4.161074894,8.322149788
21,0.085915941,40,10,10,2.953283201,9.635097178,1.310166298,5.801255119,11.60251024
22,0.03017747,40,10,10,4.193159228,4.710438621,6.437178915,5.12500483,10.25000966
23,0.066221041,40,10,10,9.975427738,8.427295805,8.549653426,8.773629478,17.54725896
24,0.004657827,40,10,10,6.505315538,0.053844974,8.882027129,3.992593733,7.985187466
25,0.082840932,40,10,10,1.703820854,9.707950786,4.656701518,6.591750019,13.18350004
26,0.09506866,40,10,10,7.143214083,7.686477939,8.582945672,7.846765488,15.69353098
27,0.088419464,40,10,10,6.787005632,5.851655319,5.658833733,5.980878906,11.96175781
28,0.038146701,40,10,10,6.690457057,8.281961014,1.356205046,5.885933432,11.77186686
29,0.021202731,40,10,10,1.746038204,5.206435264,6.193014155,4.810329519,9.620659038
30,0.08338728,40,10,10,5.597962669,0.90422247,9.336578554,4.372677335,8.745354669
31,0.089022851,40,10,10,1.752276364,0.887948948,7.28533893,2.980031426,5.960062852
32,0.010515536,40,10,10,6.499560972,3.761871036,7.850723458,5.53606475,11.0721295
33,0.010391789,40,10,10,8.278063586,2.17816505,9.67307442,5.646617568,11.29323514
34,0.078008979,40,10,10,6.261611948,5.446679638,9.135803363,6.716403218,13.43280644
35,0.047334232,40,10,10,0.638525487,1.196185356,2.979714301,1.619712065,3.239424131
36,0.019144689,40,10,10,8.611343182,9.136143995,6.040750434,8.102565764,16.20513153
37,0.070752795,40,10,10,5.67154597,7.934933417,4.130290149,6.340862947,12.68172589
38,0.014093708,40,10,10,3.177262196,9.353402066,8.551493689,7.877601579,15.75520316
39,0.021575619,40,10,10,9.610170204,7.379079495,6.954543754,7.697936914,15.39587383
40,0.026271922,40,10,10,3.675486954,6.679778466,1.639862089,4.56694525,9.133890501
41,0.057512914,40,10,10,0.809371401,5.984257466,0.073848511,3.176157567,6.352315133
42,0.085750242,40,10,10,1.433350941,5.627353216,7.763421008,5.429373099,10.8587462
43,0.081011168,40,10,10,0.757558651,8.020182683,3.098063762,5.0910222,10.1820444
44,0.043335466,40,10,10,4.086739946,4.483028785,5.170851659,4.61011788,9.220235759
45,0.042424011,40,10,10,3.054570472,0.847733268,0.28741648,1.121005673,2.242011345
46,0.02523597,40,10,10,9.603289662,2.669854175,6.46923665,5.196356015,10.39271203
47,0.00573092,40,10,10,6.184074745,5.317204487,4.178216945,5.148882276,10.29776455
48,0.063101872,40,10,10,9.237775116,8.926606674,4.126483184,7.548803315,15.09760663
49,0.034209519,40,10,10,3.185614448,2.686479816,0.603465474,2.161402439,4.322804879
50,0.091234617,40,10,10,0.311325689,6.747642101,9.832548032,6.385850598,12.7717012
51,0.095092903,40,10,10,1.1416642,2.537088243,2.7783141,2.330371191,4.660742383
52,0.049511226,40,10,10,6.866512101,7.583044904,0.760543945,5.392988056,10.78597611
53,0.053952293,40,10,10,3.294376956,4.155931787,2.689080715,3.543565499,7.087130998
54,0.095194613,40,10,10,2.986643536,0.049724481,7.962294695,3.010879356,6.021758712
55,0.05637255,40,10,10,7.313717408,7.214169516,6.316664842,6.964827692,13.92965538
56,0.089147515,40,10,10,4.378092107,0.247529022,1.451320526,1.43477909,2.86955818
57,0.038480104,40,10,10,1.589842417,3.688988577,2.819127233,3.008200942,6.016401884
58,0.01426954,40,10,10,1.201519884,7.633422475,8.806485153,6.69896076,13.39792152
59,0.014401723,40,10,10,5.804800486,9.236667132,6.846757096,7.833320792,15.66664158
60,0.046230996,40,10,10,2.284557489,8.174688546,4.303554312,5.835322064,11.67064413
61,0.016926318,40,10,10,1.496999276,9.682657974,8.220059242,7.606746615,15.21349323
62,0.052379444,40,10,10,9.901477128,1.284669626,5.657856002,4.319987039,8.639974078
